Tipo,Nombre del asistente,Sexo,Entrada,Fecha de pedido,Hora del pedido,Fecha de pago,Hora de pago,Origen,Profesión del comprador,Factura - Ciudad,Edicion
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
Entradas,Asistente2023-11,Hombre,Invitaciones,2023-05-18,23:43,2023-05-18,23:43,Invitación,,,2024
